Module,Screen,Issue,Steps to Reproduce,Priority,Severity,Evidence,Status,Retesting Remarks,Evidence,Status,Working On,Retesting Remarks,Retesting Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profile,Sign In,Grammatical Issue: A reset password link will be sent to the above entered email address,Profile >> Sign In >> Forgot Password,Medium,Low,IMG_20230516_132150.jpg,Done,Comment: We'll send you a reset password link,,Done,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profile,Sign up,"Error Message Issue: When User tries to sign up without agreeing to the ""Terms of Service
                                   and Privacy Policy,"" application does not display an error message.",Profile >> Sign Up,Medium,Medium,XRecorder_04082023_113459.mp4,Done,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profile,Sign up,Comment: Welcome Back! We Missed You For A Long Time,Profile >> Sign up,Medium,Low,IMG_20230818_170418.jpg,,New Issue,,Done,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profile,Sign up,Email ID Issue: Display of Incorrect Email Address instead of Official Email ID,Profile >> Sign In >> Forgot Password,Medium,Low,Untitled.png,,New Issue,,Need to change email from backend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profile,Sign up,"Toast Message Issue: ""The email has already been taken.""
                  Comment: ""Email has already been taken""",Profile >> Sign up,Low,Low,IMG_20230818_170657.jpg,,New Issue,,Message coming from backend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profile,Address,Functionality Issue: Users can add an empty address without any Error messages,Profile >> Addresses >> Add New Address >> Click on Add,High,Medium,IMG_20230516_132308.jpg,Done,Reopened,XRecorder_18082023_110241.mp4,Done,Ravindra.,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profile,Address,"Grammatical Issue: ""User Address has been save correctly""",Profile >> Addresses >> Add New Address >> Click on Add,Low,Low,IMG_20230516_132351.jpg,Message coming from backend,Reopened,,Done,Ravindra,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profile,Address,"Visibility Issue: In Dark Theme, Addresses are not clearly visible",Profile >> Addresses,Low,Low,IMG_20230516_132418.jpg,Done,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profile,Addresses,"Unncessary Permission Request: Application requested unnecessary permission
                                                      from the user when accessing ""Map""",Profile >> Addresses >> Add New Address >> Choose From Map,Medium,Low,XRecorder_18082023_105712.mp4,,New Issue,,Done,Ravindra,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profile,Addresses,"UI Issue: When User taps on Dropdown menu, it shifted upward unexpectedly",Profile >> Addresses >> Add New Address >> Name >> Address Type,Medium,Low,XRecorder_18082023_105432.mp4,,New Issue,,its not an issue its dropdown behavior.,Ravindra,"Closed: As per Developer's 
Remark",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,IMG_20230818_142205.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profile,Addresses,UI Issue: Infinite Box Length Increase with Long Text Entry,Profile >> Addresses >> Add New Address >> Name,Medium,Low,,,,,,,New Issue,IMG_20230918_102816.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profile,Addresses,Error Message Issue : User encounters aninaccurate error message,Profile >> Addresses >> Add New Address >> Name,Medium,Medium,,,,,,,New Issue,IMG_20230918_102755.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profile,"Helpline
Number",Contact Link Issue: Helpline Number is not shown at contact page,Profile >> Helpline Number >> Phone,Low,Low,IMG_20230516_132446.jpg,"Done,need exact number for helpline",Closed: Need exact number for Helpline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profile,Profile,"Icon Mismatch Issue: Icon displayed in the application does not align appropriately
                                  with the corresponding name associated.",Profile,Medium,Low,IMG_20230804_110327.jpg,Done,"Comment: ""Rate Us"" icon is not clearly visible
                   ""Wallet"" icon is inconsistent",IMG_20230818_153008.jpg,processing..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,IMG_20230804_110300.jpg,,,IMG_20230818_152914.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profile,Profile,UI Issue: Identical Icons for Different Fields,Profile,Medium,Low,,,,,,,New Issue,IMG_20230918_102355.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,IMG_20230918_103001.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profile,Profile,"Visibility Issue: In Dark Theme, Rate Us Icon is not visible",Profile,Medium,Low,,,,,,,New Issue,IMG_20230918_114747.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profile,Wallet,"Placeholder Text Issue: User is unable to add value in 'Enter Amount' field.
                                      First we need to remove Placeholder Text (100)",Profile >> Wallet >> Add Money >> Enter Amount,Medium,Low,IMG_20230516_132509.jpg,Done,Reopened,XRecorder_18082023_112217.mp4,Done,Ravindra.,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profile,Wallet,Data Validation Issue: Application accepts invalid amount,Profile >> Wallet >> Add Money >> Enter Amount,Medium,Low,IMG_20230804_154939.jpg,Done,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profile,Wallet,"Error message Issue: No error message when user taps on ""Proceed to Add"" button",Profile >> Wallet >> Proceed to Add,Medium,Low,XRecorder_18082023_112246.mp4,,New Issue,,Done,Ravindra.,"Reopened: Need exact 
Error message",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profile,Edit Profile,Data Validation Issue: Application accepts invalid contact number,Profile >> Edit Profile >> Email,Medium,Low,IMG_20230805_151815.jpg,Done.,"Reopened: ""Contact No."" field accepts:
                              - Greater than 10 digits
                              - Less than 10 digits
                              - Blank & Garbage value",IMG_20230818_153557.jpg,Done,,Reopened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
